Thana Name,District,Location,Crime Type,Date,Time
Iqbal Town,Lahore,"31.437012928395855,74.3036978258864",miscellaneous,02/01/15,19:00:00
Iqbal Town,Lahore,"31.434378813573712,74.30675620174773",miscellaneous,01/01/15,0:10:00
Iqbal Town,Lahore,"31.43439044376357,74.30665089882926",armsordinanceact,01/01/15,0:15:00
Iqbal Town,Lahore,"31.434485171796506,74.3067013289707",miscellaneous,01/01/15,0:20:00
Iqbal Town,Lahore,"31.433254689531406,74.30891337269337",gambling,02/01/15,0:10:00
Iqbal Town,Lahore,"31.432674357080547,74.31046546928586",armsordinanceact,01/01/15,0:25:00
Iqbal Town,Lahore,"31.432683510349737,74.31047478919909",miscellaneous,01/01/15,0:30:00
Iqbal Town,Lahore,"31.43264704481939,74.31045744097564",armsordinanceact,01/01/15,0:35:00
Iqbal Town,Lahore,"31.432560640083807,74.30008899720184",gambling,02/01/15,21:15:00
Iqbal Town,Lahore,"31.441449606965534,74.3045312297283",robbery,02/01/15,21:00:00
Iqbal Town,Lahore,"31.45093636812662,74.29835883283513",miscellaneous,02/01/15,19:00:00
Iqbal Town,Lahore,"31.4406600948167,74.29997932182532",antinorcoticsact,03/01/15,0:05:00
Iqbal Town,Lahore,"31.439367739186473,74.30348421561487",antinorcoticsact,03/01/15,0:20:00
Iqbal Town,Lahore,"31.439365925646,74.30345651171426",antinorcoticsact,03/01/15,19:40:00
Iqbal Town,Lahore,"31.43553476218454,74.3046626701958",armsordinanceact,03/01/15,16:15:00
Iqbal Town,Lahore,"31.435548955347816,74.30467577232017",miscellaneous,03/01/15,0:00:00
Iqbal Town,Lahore,"31.4303531662534,74.30563125520585",antinorcoticsact,03/01/15,19:30:00
Iqbal Town,Lahore,"31.432617005082047,74.30003811918269",narcotics,03/01/15,20:15:00
Iqbal Town,Lahore,"31.43318807082451,74.28922248897655",antinorcoticsact,03/01/15,0:50:00
Iqbal Town,Lahore,"31.442415742156957,74.29593795654539",miscellaneous,05/01/15,0:10:00
Iqbal Town,Lahore,"31.442740724365716,74.29667570257115",motorcycletheft,01/01/15,9:30:00
Iqbal Town,Lahore,"31.43985815842336,74.30213923797578",antinorcoticsact,03/01/15,12:30:00
Iqbal Town,Lahore,"31.43705016967124,74.30245728239235",motorcycletheft,03/01/15,12:00:00
Iqbal Town,Lahore,"31.435622301376313,74.30361919392385",antinorcoticsact,04/01/15,19:10:00
Iqbal Town,Lahore,"31.440038923342918,74.29953143865497",antinorcoticsact,07/01/15,0:45:00
Iqbal Town,Lahore,"31.444248337487146,74.29915647721042",bulgery,04/01/15,12:00:00
Iqbal Town,Lahore,"31.424593777171903,74.28508021882115",antinorcoticsact,06/01/15,17:15:00
Iqbal Town,Lahore,"31.42320379983664,74.2942326906892",miscellaneous,06/01/15,13:30:00
Iqbal Town,Lahore,"31.427251972682615,74.29706950948892",hurtpersonalfeud,03/01/15,17:00:00
Iqbal Town,Lahore,"31.430312547906425,74.29924301889575",antinorcoticsact,03/01/15,0:20:00
Iqbal Town,Lahore,"31.435487909427348,74.301465970945",antinorcoticsact,06/01/15,0:45:00
Iqbal Town,Lahore,"31.436398050812656,74.30196250049363",antinorcoticsact,07/01/15,0:10:00
Iqbal Town,Lahore,"31.44534862173148,74.31137440040452",miscellaneous,05/01/15,11:00:00
Iqbal Town,Lahore,"31.440776362154715,74.30447326406714",gambling,06/01/15,18:20:00
Iqbal Town,Lahore,"31.43952367744317,74.30043857787501",miscellaneous,03/01/15,17:00:00
Iqbal Town,Lahore,"31.43579945753103,74.29516964981103",antinorcoticsact,05/01/15,1:10:00
Iqbal Town,Lahore,"31.434283133705737,74.29661856265723",narcotics,05/01/15,14:00:00
Iqbal Town,Lahore,"31.433698900057,74.29806223806933",antinorcoticsact,06/01/15,0:20:00
Iqbal Town,Lahore,"31.44025098024222,74.30265660649303",bulgery,07/01/15,18:00:00
Iqbal Town,Lahore,"31.44533876209879,74.3061246550474",robbery,04/01/15,22:00:00
Iqbal Town,Lahore,"31.442251346339283,74.29633545576266",othercrimes,06/01/15,22:00:00
Iqbal Town,Lahore,"31.43399619320791,74.28961391643435",motorcyclesnatching,07/01/15,4:05:00
Iqbal Town,Lahore,"31.424503438745802,74.2834352837045",othercrimes,01/01/15,18:00:00
Iqbal Town,Lahore,"31.421889337065014,74.28112820169302",antinorcoticsact,07/01/15,19:55:00
Iqbal Town,Lahore,"31.43022390432698,74.30919564035767",antinorcoticsact,07/01/15,20:05:00
Iqbal Town,Lahore,"31.446753511450034,74.29687909813262",narcotics,10/01/15,1:10:00
Iqbal Town,Lahore,"31.42384787940111,74.29907376505587",kidnappingminors,10/01/15,12:00:00
Iqbal Town,Lahore,"31.424993184249622,74.29808182674176",armsordinanceact,09/01/15,0:30:00
Iqbal Town,Lahore,"31.4249697544611,74.29590896165071",narcotics,10/01/15,0:34:00
Iqbal Town,Lahore,"31.428900100732243,74.2901830973166",robbery,09/01/15,0:30:00
Iqbal Town,Lahore,"31.432793481893135,74.29992415811004",loudspeakeract,10/01/15,21:15:00
Iqbal Town,Lahore,"31.43284456298323,74.30000885863484",loudspeakeract,10/01/15,21:45:00
Iqbal Town,Lahore,"31.434281066774886,74.29844445655318",othercrimes,06/01/15,14:44:00
Iqbal Town,Lahore,"31.42304036662169,74.28215475545699",bulgery,10/01/15,13:54:00
Iqbal Town,Lahore,"31.43181987818391,74.29622239180524",miscellaneous,11/01/15,12:02:00
Iqbal Town,Lahore,"31.443158527205238,74.3005990457953",kidnappingminors,12/01/15,7:30:00
Iqbal Town,Lahore,"31.424754164207023,74.28391795631272",robbery,11/01/15,2:00:00
Iqbal Town,Lahore,"31.44172297984237,74.30501962395142",miscellaneous,14/01/15,11:15:00
Iqbal Town,Lahore,"31.441695297022466,74.30503414641393",armsordinanceact,14/01/15,11:25:00
Iqbal Town,Lahore,"31.441668491539545,74.30501453476542",armsordinanceact,14/01/15,11:30:00
Iqbal Town,Lahore,"31.440492316727312,74.29922869877626",motorcycletheft,12/01/15,14:30:00
Iqbal Town,Lahore,"31.437055728188696,74.3139878472536",narcotics,14/01/15,21:30:00
Iqbal Town,Lahore,"31.432704540597253,74.30066837830475",miscellaneous,14/01/15,13:35:00
Iqbal Town,Lahore,"31.43274170824998,74.30029540891117",narcotics,14/01/15,23:55:00
Iqbal Town,Lahore,"31.440341982628663,74.30293228341296",bulgery,13/01/15,0:00:00
Iqbal Town,Lahore,"31.44526443582215,74.2994416420574",robbery,15/01/15,15:30:00
Iqbal Town,Lahore,"31.442982518024557,74.29477656356143",othercrimes,15/01/15,0:00:00
Iqbal Town,Lahore,"31.440619241711627,74.29759354416395",othercrimes,15/01/15,15:00:00
Iqbal Town,Lahore,"31.42614044007718,74.2899508464318",armsordinanceact,15/01/15,19:00:00
Iqbal Town,Lahore,"31.42614044007718,74.2899508464318",armsordinanceact,15/01/15,19:10:00
Iqbal Town,Lahore,"31.431583525564758,74.29958524538725",miscellaneous,15/01/15,15:15:00
Iqbal Town,Lahore,"31.430601034302615,74.30564165544739",narcotics,09/01/15,21:10:00
Iqbal Town,Lahore,"31.43578453534534,74.29296498627374",narcotics,16/01/15,18:50:00
Iqbal Town,Lahore,"31.43576812174169,74.29253515086333",miscellaneous,16/01/15,19:55:00
Iqbal Town,Lahore,"31.4357821719682,74.29256758450356",armsordinanceact,16/01/15,20:10:00
Iqbal Town,Lahore,"31.435797995521007,74.29258039339435",armsordinanceact,16/01/15,20:25:00
Iqbal Town,Lahore,"31.438237253560423,74.29192611119501",robbery,16/01/15,17:20:00
Iqbal Town,Lahore,"31.435191979362305,74.30415739862865",localgovernment,17/01/15,20:45:00
Wagha Town,Lahore,"31.590750657029094,74.35783958860837",localgovernment,05/01/15,13:20:00
Wagha Town,Lahore,"31.583833373235958,74.36775871804139",localgovernment,05/01/15,13:15:00
Wagha Town,Lahore,"31.595450983298438,74.35658294733288",loudspeakeract,08/01/15,12:10:00
Wagha Town,Lahore,"31.59585448999382,74.35661100161026",robbery,09/01/15,12:22:00
Wagha Town,Lahore,"31.597720527250715,74.3571382257897",miscellaneous,11/01/15,15:30:00
Wagha Town,Lahore,"31.59070083820725,74.35722497134992",miscellaneous,11/01/15,15:35:00
Wagha Town,Lahore,"31.59218683536916,74.35830994092385",loudspeakeract,09/01/15,12:55:00
Wagha Town,Lahore,"31.578589979958757,74.36327959232615",loudspeakeract,09/01/15,12:40:00
Wagha Town,Lahore,"31.58394747669206,74.35823746417702",loudspeakeract,09/01/15,12:30:00
Wagha Town,Lahore,"31.588322908921032,74.36260422260058",robbery,09/01/15,21:15:00
Wagha Town,Lahore,"31.604267916804417,74.36415979872959",motorcycletheft,09/01/15,15:30:00
Wagha Town,Lahore,"31.591874044723326,74.35328344986564",loudspeakeract,09/01/15,13:00:00
Wagha Town,Lahore,"31.594353624955115,74.35308842160927",loudspeakeract,09/01/15,13:00:00
Wagha Town,Lahore,"31.60516809872482,74.36359273712866",loudspeakeract,09/01/15,12:15:00
Wagha Town,Lahore,"31.606452366073455,74.36359263677369",loudspeakeract,09/01/15,12:12:00
Wagha Town,Lahore,"31.591220460119306,74.36720275370743",motorcycletheft,09/01/15,13:18:00
Wagha Town,Lahore,"31.58826812030821,74.36281334233166",miscellaneous,10/01/15,19:50:00
Wagha Town,Lahore,"31.59156719000044,74.36655156063644",loudspeakeract,09/01/15,13:10:00
Wagha Town,Lahore,"31.590054652272272,74.35603895068837",miscellaneous,08/01/15,22:30:00
Wagha Town,Lahore,"31.58824743576743,74.36280539548837",narcotics,08/01/15,20:50:00
Wagha Town,Lahore,"31.583655741376347,74.36853920357564",miscellaneous,08/01/15,23:45:00
Wagha Town,Lahore,"31.592740719538092,74.35879145510587",motorcycletheft,07/01/15,21:30:00
Wagha Town,Lahore,"31.590063914635948,74.36099868270315",armsordinanceact,06/01/15,23:50:00
Wagha Town,Lahore,"31.590091599538358,74.3560493094319",loudspeakeract,11/01/15,1:55:00
Wagha Town,Lahore,"31.594412329252634,74.35317315036527",loudspeakeract,11/01/15,2:00:00
Wagha Town,Lahore,"31.59475245555977,74.3505532970206",motorcycletheft,11/01/15,18:10:00
Wagha Town,Lahore,"31.595388041612054,74.36415738869096",motorcycletheft,09/01/15,22:00:00
Wagha Town,Lahore,"31.579185209310953,74.36774253851222",bulgery,10/01/15,23:55:00
Wagha Town,Lahore,"31.607412483543573,74.36783574219177",robbery,10/01/15,13:15:00
Wagha Town,Lahore,"31.576843509486206,74.35855608014012",robbery,13/01/15,12:35:00
Wagha Town,Lahore,"31.590931982303292,74.3573105410434",antinorcoticsact,17/01/15,0:05:00
Wagha Town,Lahore,"31.59084695063381,74.35499339829855",narcotics,17/01/15,4:00:00
Wagha Town,Lahore,"31.60818755749528,74.36836697060615",overspeeding,16/01/15,17:40:00
Gulberg Town,Lahore,"31.50964162379482,74.34359517548793",othercrimes,01/01/15,17:00:00
Gulberg Town,Lahore,"31.509663445930478,74.34359768827466",overspeeding,01/01/15,0:15:00
Gulberg Town,Lahore,"31.507585152445547,74.34931408266407",othercrimes,01/01/15,18:40:00
Gulberg Town,Lahore,"31.509735478370544,74.34329081764561",motorcycletheft,01/01/15,14:00:00
Gulberg Town,Lahore,"31.50826019286114,74.3426241055326",cartheft,02/01/15,20:30:00
Gulberg Town,Lahore,"31.51030397278997,74.34132608693953",miscellaneous,04/01/15,17:00:00
Gulberg Town,Lahore,"31.510313055848815,74.34133142089237",othercrimes,03/01/15,20:30:00
Gulberg Town,Lahore,"31.511583572767265,74.34378963384584",othercrimes,05/01/15,18:15:00
Gulberg Town,Lahore,"31.505079090894952,74.33279927422494",miscellaneous,04/01/15,21:00:00
Gulberg Town,Lahore,"31.514756640925327,74.3428152961119",robbery,03/01/15,15:15:00
Gulberg Town,Lahore,"31.509675937595674,74.34338295795922",miscellaneous,02/01/15,11:16:00
Gulberg Town,Lahore,"31.509796136421453,74.3433583793464",othercrimes,06/01/15,21:20:00
Gulberg Town,Lahore,"31.50980106849024,74.34334917711128",miscellaneous,08/01/15,22:30:00
Gulberg Town,Lahore,"31.509824546676732,74.34333174150929",othercrimes,07/01/15,18:30:00
Gulberg Town,Lahore,"31.50989073920224,74.3429901860933",narcotics,10/01/15,11:23:00
Gulberg Town,Lahore,"31.50870968374966,74.34566456049748",miscellaneous,09/01/15,15:00:00
Gulberg Town,Lahore,"31.511977545501995,74.33619824899445",motorcycletheft,08/01/15,12:20:00
Gulberg Town,Lahore,"31.511977545501995,74.33619824899445",othercrimes,08/01/15,19:35:00
Gulberg Town,Lahore,"31.50993488108669,74.33647347812635",miscellaneous,08/01/15,0:30:00
Gulberg Town,Lahore,"31.50963095498058,74.3362143458196",armsordinanceact,08/01/15,0:35:00
Gulberg Town,Lahore,"31.50963095498058,74.3362143458196",armsordinanceact,08/01/15,0:40:00
Gulberg Town,Lahore,"31.515629389238573,74.34248207918229",othercrimes,10/01/15,11:46:00
Gulberg Town,Lahore,"31.520606229431284,74.34615542631352",miscellaneous,09/01/15,23:30:00
Gulberg Town,Lahore,"31.509754603021733,74.34337147359099",othercrimes,09/01/15,18:10:00
Gulberg Town,Lahore,"31.508806895305757,74.34557489946664",othercrimes,11/01/15,9:20:00
Gulberg Town,Lahore,"31.51048965565995,74.34635032418647",othercrimes,11/01/15,22:30:00
Gulberg Town,Lahore,"31.515818400103985,74.34212413798126",othercrimes,12/01/15,20:45:00
Gulberg Town,Lahore,"31.525933605021013,74.33345751396486",miscellaneous,09/01/15,1:45:00
Gulberg Town,Lahore,"31.515718221164335,74.34326306868311",othercrimes,08/01/15,11:06:00
Gulberg Town,Lahore,"31.516196673133,74.34355351950148",robbery,13/01/15,19:30:00
Gulberg Town,Lahore,"31.511628442975585,74.33897530325656",othercrimes,12/01/15,22:45:00
Gulberg Town,Lahore,"31.506961787436165,74.34132884295455",othercrimes,13/01/15,10:31:00
Gulberg Town,Lahore,"31.50957045886345,74.34310556336924",othercrimes,07/01/15,18:00:00
Gulberg Town,Lahore,"31.509024024657524,74.34498117396032",motorcycletheft,13/01/15,20:20:00
Gulberg Town,Lahore,"31.507538921871454,74.34935811570855",othercrimes,12/01/15,11:27:00
Gulberg Town,Lahore,"31.510104819958457,74.34157659135177",othercrimes,15/01/15,20:00:00
Gulberg Town,Lahore,"31.507206184237212,74.35028230260146",othercrimes,15/01/15,21:00:00
Gulberg Town,Lahore,"31.507173057495766,74.35026300798299",othercrimes,15/01/15,19:30:00
Gulberg Town,Lahore,"31.509158961614204,74.34415614564159",motorcycletheft,15/01/15,16:50:00
Gulberg Town,Lahore,"31.50786102119776,74.33872972342404",robbery,14/01/15,11:00:00
Gulberg Town,Lahore,"31.511114565142755,74.33955613732557",miscellaneous,15/01/15,21:55:00
Gulberg Town,Lahore,"31.514608956454047,74.3426982275883",othercrimes,15/01/15,19:30:00
Gulberg Town,Lahore,"31.520311885011562,74.34600324101417",miscellaneous,16/01/15,12:00:00
Iqbal Town,Lahore,"31.503402236926167,74.26854721260626",telephoneact,03/01/15,18:53:00
Iqbal Town,Lahore,"31.50040304038068,74.26771805440423",gambling,03/01/15,0:45:00
Iqbal Town,Lahore,"31.502535683547052,74.28141717708867",cartheft,03/01/15,16:00:00
Iqbal Town,Lahore,"31.506312079972535,74.2798880678876",cartheft,05/01/15,20:15:00
Iqbal Town,Lahore,"31.504299189161763,74.28061054511953",motorcycletheft,03/01/15,16:30:00
Iqbal Town,Lahore,"31.505130666048558,74.28070774842939",cartheft,06/01/15,15:00:00
Iqbal Town,Lahore,"31.50897578727093,74.28082360661732",motorcyclesnatching,07/01/15,16:30:00
Iqbal Town,Lahore,"31.50668811837146,74.27164063787079",robbery,08/01/15,10:00:00
Iqbal Town,Lahore,"31.500387616146867,74.2714420834276",miscellaneous,03/01/15,12:00:00
Iqbal Town,Lahore,"31.50645094764602,74.27676427270663",motorcyclesnatching,07/01/15,22:30:00
Iqbal Town,Lahore,"31.50785804933822,74.28362443656272",miscellaneous,09/01/15,2:30:00
Iqbal Town,Lahore,"31.497671252132164,74.26968229180142",miscellaneous,09/01/15,21:10:00
Iqbal Town,Lahore,"31.503798325190512,74.28136033400972",motorcycletheft,05/01/15,21:45:00
Iqbal Town,Lahore,"31.503798325190512,74.28136033400972",miscellaneous,10/01/15,19:05:00
Iqbal Town,Lahore,"31.50786999810487,74.28424749246842",miscellaneous,10/01/15,22:45:00
Iqbal Town,Lahore,"31.503557880855574,74.26865110416823",miscellaneous,11/01/15,16:20:00
Iqbal Town,Lahore,"31.498832600228525,74.26653495450502",kidnapping,13/01/15,19:00:00
Iqbal Town,Lahore,"31.505022998013516,74.28072361034556",othercrimes,10/01/15,19:00:00
Iqbal Town,Lahore,"31.50409381296379,74.27335859731052",robbery,12/01/15,13:30:00
Iqbal Town,Lahore,"31.505135634741706,74.28068739240507",ppc,13/01/15,19:30:00
Iqbal Town,Lahore,"31.50510067523642,74.28051333410828",miscellaneous,15/01/15,12:00:00
Iqbal Town,Lahore,"31.505135284419616,74.28060318600204",miscellaneous,15/01/15,12:00:00
Iqbal Town,Lahore,"31.505205443661637,74.28056665852606",miscellaneous,15/01/15,12:00:00
Samanabad Town ,Lahore,"31.550085257087375,74.27736792775858",motorcyclesnatching,01/01/15,20:25:00
Samanabad Town ,Lahore,"31.54992215194512,74.27746231731646",armsordinanceact,01/01/15,15:45:00
Samanabad Town ,Lahore,"31.55042976288309,74.27761051069409",robbery,01/01/15,21:45:00
Samanabad Town ,Lahore,"31.550429999383162,74.28095857530765",pricecontrol,03/01/15,23:07:00
Samanabad Town ,Lahore,"31.55028801730028,74.28245761832788",gambling,01/01/15,11:45:00
Samanabad Town ,Lahore,"31.550308463302084,74.28509643064432",bulgery,03/01/15,0:20:00
Samanabad Town ,Lahore,"31.549440186311266,74.28608509451608",othercrimes,02/01/15,18:00:00
Samanabad Town ,Lahore,"31.549451254072974,74.28593843179124",motorcycletheft,04/01/15,20:30:00
Samanabad Town ,Lahore,"31.549936164360297,74.2865019404035",armsordinanceact,01/01/15,16:30:00
Samanabad Town ,Lahore,"31.54960099620961,74.27988416463786",bulgery,06/01/15,21:27:00
Samanabad Town ,Lahore,"31.550334757705016,74.2790245721669",othercrimes,05/01/15,10:00:00
Samanabad Town ,Lahore,"31.541349048807714,74.29339958577893",motorcycletheft,04/01/15,18:00:00
Samanabad Town ,Lahore,"31.549765933598653,74.2802687476606",pricecontrol,07/01/15,15:15:00
Samanabad Town ,Lahore,"31.550358330385414,74.28230417771647",pricecontrol,07/01/15,18:00:00
Samanabad Town ,Lahore,"31.550361027502245,74.28222842935973",pricecontrol,07/01/15,15:40:00
Samanabad Town ,Lahore,"31.550375318077045,74.28262640046171",pricecontrol,07/01/15,16:00:00
Samanabad Town ,Lahore,"31.549940114130187,74.28513809237498",motorcycletheft,04/01/15,20:30:00
Samanabad Town ,Lahore,"31.546695897612402,74.29119315175464",antinorcoticsact,07/01/15,14:50:00
Samanabad Town ,Lahore,"31.551993301518223,74.28311612025608",miscellaneous,08/01/15,21:20:00
Samanabad Town ,Lahore,"31.552056178112846,74.28319423681609",armsordinanceact,08/01/15,21:25:00
Samanabad Town ,Lahore,"31.552056178112846,74.28319423681609",armsordinanceact,08/01/15,21:25:00
Samanabad Town ,Lahore,"31.552056178112846,74.28319423681609",armsordinanceact,08/01/15,21:25:00
Samanabad Town ,Lahore,"31.550370028889976,74.28220152748003",miscellaneous,09/01/15,22:00:00
Samanabad Town ,Lahore,"31.55047903527582,74.2822767932608",loudspeakeract,09/01/15,13:45:00
Samanabad Town ,Lahore,"31.548781042378376,74.29098972396179",loudspeakeract,09/01/15,13:30:00
Samanabad Town ,Lahore,"31.55027983412225,74.287980740963",loudspeakeract,09/01/15,13:00:00
Samanabad Town ,Lahore,"31.546009935306223,74.2826631829726",localgovernment,11/01/15,11:35:00
Samanabad Town ,Lahore,"31.543904452485524,74.28088047746391",loudspeakeract,11/01/15,17:00:00
Samanabad Town ,Lahore,"31.543881867450693,74.288140419436",loudspeakeract,10/01/15,13:35:00
Samanabad Town ,Lahore,"31.551164683288807,74.28068091313797",othercrimes,09/01/15,14:00:00
Samanabad Town ,Lahore,"31.550004704559804,74.28125364613012",robbery,11/01/15,22:30:00
Samanabad Town ,Lahore,"31.549663340273007,74.27987169989304",pricecontrol,14/01/15,14:15:00
Samanabad Town ,Lahore,"31.550159808298655,74.27353728432135",armsordinanceact,14/01/15,20:20:00
Samanabad Town ,Lahore,"31.54659071768229,74.27480339411426",miscellaneous,10/01/15,22:40:00
Samanabad Town ,Lahore,"31.54647602577514,74.27484961096371",othercrimes,13/01/15,2:35:00
Samanabad Town ,Lahore,"31.543867207429965,74.27719394193194",narcotics,14/01/15,0:05:00
Samanabad Town ,Lahore,"31.549624098443214,74.28561423702173",miscellaneous,01/01/15,2:00:00
Samanabad Town ,Lahore,"31.550860078055518,74.28666555984682",pricecontrol,14/01/15,14:10:00
Samanabad Town ,Lahore,"31.5529152500454,74.28945030373436",pricecontrol,14/01/15,13:20:00
Samanabad Town ,Lahore,"31.551842353402236,74.2911876758696",pricecontrol,14/01/15,12:25:00
Samanabad Town ,Lahore,"31.544445585851363,74.28989896755648",miscellaneous,11/01/15,22:40:00
Samanabad Town ,Lahore,"31.543583895726577,74.28883482459197",robbery,09/01/15,17:00:00
Samanabad Town ,Lahore,"31.550737029423274,74.27887654937648",miscellaneous,16/01/15,2:25:00
Samanabad Town ,Lahore,"31.55066752955155,74.2788368471838",armsordinanceact,16/01/15,2:35:00
Samanabad Town ,Lahore,"31.55073433512926,74.27882900170722",armsordinanceact,16/01/15,2:40:00
Samanabad Town ,Lahore,"31.550778377820237,74.27892426466289",armsordinanceact,16/01/15,2:45:00
Samanabad Town ,Lahore,"31.550825979704715,74.27884257826095",armsordinanceact,16/01/15,2:55:00
Samanabad Town ,Lahore,"31.54956981700105,74.27697482602673",motorcyclesnatching,15/01/15,18:50:00
Samanabad Town ,Lahore,"31.54883012525512,74.27276602435576",antinorcoticsact,16/01/15,19:00:00
Samanabad Town ,Lahore,"31.5513661,74.283412",hurtpersonalfeud,12/01/15,20:00:00
Samanabad Town ,Lahore,"31.551100277137422,74.28162370019825",antinorcoticsact,17/01/15,0:35:00
Samanabad Town ,Lahore,"31.55209748489517,74.28085321487347",motorcycletheft,14/01/15,18:00:00
Samanabad Town ,Lahore,"31.5438166430141,74.28371848580382",othervehicletheft,16/01/15,15:15:00
Samanabad Town ,Lahore,"31.543382790404696,74.28384675472381",motorcycletheft,14/01/15,15:20:00
Samanabad Town ,Lahore,"31.549843759170663,74.2882496206735",othercrimes,15/01/15,15:30:00
Samanabad Town ,Lahore,"31.54819653477084,74.29078174358533",othercrimes,15/01/15,18:30:00
Samanabad Town ,Lahore,"31.544141626681846,74.28999594447274",robbery,16/01/15,0:00:00
Iqbal Town,Lahore,"31.491388824403863,74.25793456376461",gambling,01/01/15,23:55:00
Iqbal Town,Lahore,"31.50567800166694,74.24494696935461",antinorcoticsact,05/01/15,16:50:00
Iqbal Town,Lahore,"31.504295296641896,74.25320595856131",bulgery,05/01/15,13:30:00
Iqbal Town,Lahore,"31.487179926967087,74.25751051157589",motorcycletheft,04/01/15,21:00:00
Iqbal Town,Lahore,"31.495275983985618,74.2631819425891",motorcycletheft,04/01/15,17:00:00
Iqbal Town,Lahore,"31.47892349155656,74.23929946828291",othervehicletheft,03/01/15,8:00:00
Iqbal Town,Lahore,"31.474645382761842,74.2420884802296",miscellaneous,07/01/15,0:05:00
Iqbal Town,Lahore,"31.487367082888767,74.25933025182354",othercrimes,07/01/15,3:00:00
Iqbal Town,Lahore,"31.491928689587738,74.23536065861781",outragingthemodestyofwomen,07/01/15,11:30:00
Iqbal Town,Lahore,"31.50222982690728,74.2564833655057",robbery,02/01/15,20:30:00
Iqbal Town,Lahore,"31.485613754653976,74.25647968910803",loudspeakeract,09/01/15,13:35:00
Iqbal Town,Lahore,"31.497575632478853,74.26021348760042",loudspeakeract,09/01/15,13:20:00
Iqbal Town,Lahore,"31.48243220883563,74.23769549264101",attemptedmurder,07/01/15,14:00:00
Iqbal Town,Lahore,"31.488467761339027,74.23974659472407",motorcycletheft,01/01/15,23:00:00
Iqbal Town,Lahore,"31.493628970878294,74.26153734695487",motorcycletheft,11/01/15,19:10:00
Iqbal Town,Lahore,"31.494566990617294,74.26309650155322",antinorcoticsact,11/01/15,18:25:00
Iqbal Town,Lahore,"31.47734987685404,74.24495663348986",miscellaneous,10/01/15,18:10:00
Iqbal Town,Lahore,"31.47332184251594,74.24177478107103",loudspeakeract,11/01/15,19:00:00
Iqbal Town,Lahore,"31.49205868918276,74.2578711409004",miscellaneous,11/01/15,19:00:00
Iqbal Town,Lahore,"31.46492630470217,74.24417611371405",loudspeakeract,12/01/15,20:20:00
Iqbal Town,Lahore,"31.484426504124794,74.24986370554849",kidnapping,02/01/15,13:00:00
Iqbal Town,Lahore,"31.493954690786264,74.2629367423695",fatalaccident,15/01/15,7:00:00
Iqbal Town,Lahore,"31.493949386812712,74.26297854401054",miscellaneous,13/01/15,19:00:00
Iqbal Town,Lahore,"31.493877153108407,74.25484208494984",othercrimes,13/01/15,11:34:00
Iqbal Town,Lahore,"31.495209464070033,74.25474648556855",rape,15/01/15,10:00:00
Iqbal Town,Lahore,"31.497351898989994,74.25408048251525",motorcycletheft,11/01/15,22:00:00
Iqbal Town,Lahore,"31.499812306593057,74.25276500091942",othercrimes,07/01/15,19:00:00
Iqbal Town,Lahore,"31.503012211155212,74.24258751053266",bulgery,15/01/15,9:30:00
Iqbal Town,Lahore,"31.472579142734524,74.24174005603602",armsordinanceact,13/01/15,17:45:00
Iqbal Town,Lahore,"31.499831860772296,74.26017028641839",murder,15/01/15,4:00:00
Gulberg Town,Lahore,"31.5257725146699,74.32556689489559",miscellaneous,01/01/15,18:15:00
Gulberg Town,Lahore,"31.53692752622965,74.31942183704071",motorcycletheft,02/01/15,13:30:00
Gulberg Town,Lahore,"31.537135827019167,74.31828331753101",motorcycletheft,02/01/15,13:25:00
Gulberg Town,Lahore,"31.535979284969628,74.320154953778",overspeeding,01/01/15,11:50:00
Gulberg Town,Lahore,"31.522041834788443,74.32473176522254",overspeeding,05/01/15,12:50:00
Gulberg Town,Lahore,"31.52416824778562,74.32340857453482",miscellaneous,06/01/15,10:15:00
Gulberg Town,Lahore,"31.531078132149077,74.32129379150489",othercrimes,05/01/15,10:30:00
Gulberg Town,Lahore,"31.53232616189336,74.32079069994063",motorcycletheft,03/01/15,13:35:00
Gulberg Town,Lahore,"31.53240834618225,74.32083414817264",miscellaneous,06/01/15,12:50:00
Gulberg Town,Lahore,"31.532498658537317,74.32083263852216",miscellaneous,06/01/15,13:00:00
Gulberg Town,Lahore,"31.5327659337274,74.32080961910825",miscellaneous,06/01/15,13:20:00
Gulberg Town,Lahore,"31.532754325626925,74.32078292456622",miscellaneous,06/01/15,13:30:00
Gulberg Town,Lahore,"31.53062794059165,74.31641143265612",othercrimes,06/01/15,16:00:00
Gulberg Town,Lahore,"31.53258776464537,74.31342500690903",kidnapping,02/01/15,12:30:00
Gulberg Town,Lahore,"31.539763631606558,74.31771947148296",cartheft,02/01/15,18:00:00
Gulberg Town,Lahore,"31.52913749465692,74.3303057251394",miscellaneous,09/01/15,16:55:00
Gulberg Town,Lahore,"31.52907871992793,74.3306028328834",armsordinanceact,09/01/15,17:00:00
Gulberg Town,Lahore,"31.528996480993076,74.33071846347534",armsordinanceact,09/01/15,17:10:00
Gulberg Town,Lahore,"31.529060312890497,74.33061575583955",armsordinanceact,09/01/15,17:20:00
Gulberg Town,Lahore,"31.53836558831147,74.31654968683912",armsordinanceact,08/01/15,18:00:00
Gulberg Town,Lahore,"31.536125866414338,74.31559391992012",motorcycletheft,09/01/15,23:35:00
